## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details
## 3.0
AIS32-0.1.2.1,"Edge Sensor Analog",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.2.1","AIS32",,false
SSTRUC-000006,"Edge_Home_Position",false,,,,,,,,"System Structure for Find Home",,,,false,,"SSTRUC","HOME",false
F32-000043,"Edge_Home_Position.Accel",false,"0.0",,,,,,,,true,false,"0.0",false,,"F32","HOME",false
C-000052,"Edge_Home_Position.Complete",false,"0",,,,,,,,true,false,"0",false,,"C","HOME",false
F32-000044,"Edge_Home_Position.Decel",false,"0.0",,,,,,,,true,false,"0.0",false,,"F32","HOME",false
C-000051,"Edge_Home_Position.InProgress",false,"0",,,,,,,,false,false,"0",false,,"C","HOME",false
F32-000045,"Edge_Home_Position.Position",false,"0.0",,,,,,,,true,false,"0.0",false,,"F32","HOME",false
F32-000046,"Edge_Home_Position.Speed1",false,"0.0",,,,,,,,true,false,"0.0",false,,"F32","HOME",false
F32-000047,"Edge_Home_Position.Speed2",false,"0.0",,,,,,,,true,false,"0.0",false,,"F32","HOME",false
F32-000048,"Edge_Home_Position.Status",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32","HOME",false
C-000080,"EnableCut",false,"0",,,,,,,,false,false,"0",false,,"C",,false
SWR-001526,"Ethernet Speed [External]",false,"0",,,,,,,"""Ethernet"" port speed (Ethernet 10 or 100)",,,,false,,"SWR",,false
SWR-001527,"Ethernet Speed [Internal]",false,"0",,,,,,,"""Remote I/O"" port speed (Ethernet 10 or 100)",,,,false,,"SWR",,false
SBR-001004,"Every Other Scan Bit",false,"0",,,,,,,"toggles at the start of each scan",,,,false,,"SBR",,false
SWR-001509,"Firmware Version",false,"0",,,,,,,"CPU Firmware Version Number in Hex (ex: 0x0102 is version 01.02 or 1.2)",,,,false,,"SWR",,false
SSTR-000104,"Firmware Version[CPU]",false,,,,50,,,,"CPU firmware version viewed as 001.000.009.023",,,,false,,"SSTR",,false
SWR-001528,"Firmware Version[major]",false,"0",,,,,,,"CPU firmware Major version number in hex. (ex:  0x0100 =  major version 1.0)",,,,false,,"SWR",,false
SWR-001529,"Firmware Version[minor]",false,"0",,,,,,,"CPU firmware Minor version number in hex. (ex: 0x0917 = minor version 9.23)",,,,false,,"SWR",,false
SBR-001003,"First Scan Bit",false,"0",,,,,,,"On during first scan in Run or Debug mode",,,,false,,"SBR",,false
SWR-001530,"First Scan Interval [x100=usec]",false,"0",,,,,,,"Holds the value of the First Scan time",,,,false,,"SWR",,false
SBR-001007,"Forces Enabled",false,"0",,,,,,,"On if any forces are enabled",,,,false,,"SBR",,false
F32-000082,"HighLimit",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000053,"Hole Size",false,"0.0",,,,,,,,true,false,"0.0",false,,"F32",,false
F32-000087,"HoleDistance1",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000096,"HoleDistance10",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000284,"HoleDistance100",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000282,"HoleDistance101",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000288,"HoleDistance102",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000286,"HoleDistance103",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000276,"HoleDistance104",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000274,"HoleDistance105",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000280,"HoleDistance106",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000278,"HoleDistance107",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000273,"HoleDistance108",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000272,"HoleDistance109",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000111,"HoleDistance11",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000269,"HoleDistance110",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000262,"HoleDistance111",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000260,"HoleDistance112",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000266,"HoleDistance113",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000264,"HoleDistance114",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000201,"HoleDistance115",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000199,"HoleDistance116",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000204,"HoleDistance117",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000203,"HoleDistance118",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000198,"HoleDistance119",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000112,"HoleDistance12",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000196,"HoleDistance120",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000194,"HoleDistance121",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000186,"HoleDistance122",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000184,"HoleDistance123",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000190,"HoleDistance124",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000188,"HoleDistance125",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000180,"HoleDistance126",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000178,"HoleDistance127",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000183,"HoleDistance128",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000182,"HoleDistance129",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000113,"HoleDistance13",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000171,"HoleDistance130",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000176,"HoleDistance131",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000174,"HoleDistance132",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000165,"HoleDistance133",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000163,"HoleDistance134",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000169,"HoleDistance135",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000167,"HoleDistance136",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000159,"HoleDistance137",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000158,"HoleDistance138",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000161,"HoleDistance139",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000450,"HoleDistance14",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000152,"HoleDistance140",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000150,"HoleDistance141",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000156,"HoleDistance142",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000154,"HoleDistance143",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000144,"HoleDistance144",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000142,"HoleDistance145",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000148,"HoleDistance146",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000146,"HoleDistance147",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000139,"HoleDistance148",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000138,"HoleDistance149",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000449,"HoleDistance15",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000120,"HoleDistance150",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000132,"HoleDistance151",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000130,"HoleDistance152",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000136,"HoleDistance153",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000134,"HoleDistance154",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000125,"HoleDistance155",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000123,"HoleDistance156",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000128,"HoleDistance157",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000127,"HoleDistance158",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
F32-000246,"HoleDistance159",false,"0.0",,,,,,,,false,false,"0.0",false,,"F32",,false
